data,dia_da_semana,mês,dia_do_mes,feriado,promoção_ativa,final_de_semana,data_comemorativa,condição_climática,intensidade_chuva,pedidos_presenciais,pedidos_delivery,faturamento_total,qtd_lanches,qtd_combos,qtd_batatas,qtd_bebidas,qtd_sobremesas
2019-01-01,2,1,1,1,0,0,0,3,0,47,35,4829.59,71,41,42,63,16
2019-01-02,3,1,2,0,0,0,0,1,1,21,41,3006.6,56,26,24,42,11
2019-01-03,4,1,3,0,0,0,0,1,2,29,42,4268.98,59,38,27,50,13
2019-01-04,5,1,4,0,0,0,0,2,0,55,50,6652.13,87,61,61,82,24
2019-01-05,6,1,5,0,0,1,0,0,2,29,68,5348.61,88,47,32,66,15
2019-01-06,7,1,6,0,0,1,0,0,2,28,71,6048.33,90,55,40,69,14
2019-01-07,1,1,7,0,1,0,0,1,2,34,44,4586.72,65,40,37,60,22
2019-01-08,2,1,8,0,0,0,0,2,0,31,27,3161.42,47,33,27,42,11
2019-01-09,3,1,9,0,0,0,0,1,1,23,33,3423.19,51,30,21,42,12
2019-01-10,4,1,10,0,0,0,0,3,0,40,29,3647.45,59,29,30,51,15
2019-01-11,5,1,11,0,0,0,0,1,1,35,44,3881.06,70,31,28,63,17
2019-01-12,6,1,12,0,0,1,0,1,1,42,69,6622.37,96,59,46,74,30
2019-01-13,7,1,13,0,0,1,0,3,0,60,32,5611.17,83,59,33,64,20
2019-01-14,1,1,14,0,0,0,0,0,2,10,29,2168.2,32,21,14,31,7
2019-01-15,2,1,15,0,0,0,0,3,0,34,19,3258.82,47,31,17,39,12
2019-01-16,3,1,16,0,0,0,0,1,2,23,33,3487.55,49,31,24,37,15
2019-01-17,4,1,17,0,0,0,0,3,0,35,24,3624.02,53,35,26,45,10
2019-01-18,5,1,18,0,0,0,0,1,1,33,46,5279.58,70,45,33,63,16
2019-01-19,6,1,19,0,1,1,0,1,1,55,86,7776.4,122,79,63,102,25
2019-01-20,7,1,20,0,1,1,0,3,0,71,52,7094.27,111,64,56,100,28
2019-01-21,1,1,21,0,0,0,0,3,0,30,18,2706.03,42,26,23,37,7
2019-01-22,2,1,22,0,0,0,0,3,0,33,30,3975.12,56,37,30,48,12
2019-01-23,3,1,23,0,0,0,0,0,2,13,34,2666.81,45,19,21,30,9
2019-01-24,4,1,24,0,0,0,0,2,1,35,25,3976.09,58,37,30,46,13
2019-01-25,5,1,25,0,0,0,0,3,0,53,33,4871.21,73,53,34,61,20
2019-01-26,6,1,26,0,0,1,0,2,0,73,57,7424.13,106,63,64,90,31
2019-01-27,7,1,27,0,0,1,0,0,2,16,51,3632.9,58,29,34,44,13
2019-01-28,1,1,28,0,0,0,0,2,0,29,25,3194.66,47,28,24,39,6
2019-01-29,2,1,29,0,0,0,0,2,0,29,27,3186.74,49,27,22,39,10
2019-01-30,3,1,30,0,0,0,0,2,0,33,29,3381.91,52,35,28,43,8
2019-01-31,4,1,31,0,0,0,0,1,2,26,39,3913.82,59,36,32,47,16
2019-02-01,5,2,1,0,0,0,0,0,2,27,64,5057.34,80,50,33,75,15
2019-02-02,6,2,2,0,0,1,0,3,0,88,62,8279.51,131,69,63,104,40
2019-02-03,7,2,3,0,0,1,0,1,1,47,68,6656.91,99,61,52,88,31
2019-02-04,1,2,4,0,0,0,0,3,0,36,30,3820.62,52,40,26,48,12
2019-02-05,2,2,5,0,0,0,0,1,2,28,41,4016.02,60,37,31,48,15
2019-02-06,3,2,6,0,1,0,0,3,0,71,43,7476.5,98,72,56,93,24
2019-02-07,4,2,7,0,1,0,0,2,0,57,43,5556.65,92,41,30,74,24
2019-02-08,5,2,8,0,0,0,0,1,2,42,60,5640.55,92,52,42,73,23
2019-02-09,6,2,9,0,0,1,0,3,0,78,55,7053.79,103,61,54,96,30
2019-02-10,7,2,10,0,0,1,0,3,0,71,45,6562.62,100,49,39,87,31
2019-02-11,1,2,11,0,0,0,0,1,2,22,27,3063.09,45,25,26,40,10
2019-02-12,2,2,12,0,0,0,0,0,2,14,36,2638.65,42,28,24,32,8
2019-02-13,3,2,13,0,0,0,0,1,2,22,35,3117.13,52,30,23,43,11
2019-02-14,4,2,14,0,0,0,1,2,0,39,40,4460.65,70,36,30,53,17
2019-02-15,5,2,15,0,0,0,0,1,1,32,44,4120.93,62,38,32,46,16
2019-02-16,6,2,16,0,0,1,0,2,0,58,49,5736.71,96,60,41,75,22
2019-02-17,7,2,17,0,0,1,0,2,0,52,37,4823.81,78,51,32,65,26
2019-02-18,1,2,18,0,0,0,0,1,1,18,24,2489.18,39,24,17,33,9
2019-02-19,2,2,19,0,0,0,0,3,0,30,22,2793.01,43,22,24,42,7
2019-02-20,3,2,20,1,0,0,0,1,1,25,33,3115.88,49,28,15,44,13
2019-02-21,4,2,21,1,0,0,0,3,0,41,29,4136.5,63,37,37,56,18
2019-02-22,5,2,22,0,0,0,0,1,1,29,47,3971.81,67,35,34,49,16
2019-02-23,6,2,23,0,0,1,0,0,2,24,63,5294.66,80,42,40,58,21
2019-02-24,7,2,24,0,0,1,0,2,0,49,41,5638.64,80,55,37,66,17
2019-02-25,1,2,25,0,0,0,0,1,2,22,34,3049.85,51,28,27,39,6
2019-02-26,2,2,26,0,0,0,0,1,2,19,31,2956.04,43,28,23,36,8
2019-02-27,3,2,27,0,0,0,0,2,0,34,27,3750.04,55,40,26,45,12
2019-02-28,4,2,28,0,0,0,0,3,0,42,28,3924.59,62,37,33,49,14
2019-03-01,5,3,1,1,0,0,0,1,1,54,74,7488.15,119,74,41,95,21
2019-03-02,6,3,2,1,0,1,0,2,0,90,72,9484.06,144,73,91,119,36
